Date,Log Total Assets
12/31/2005,-0.027366519999997507
12/31/2006,-0.014951400000001058
12/31/2007,0.007014769999999615
12/31/2008,0.21122764999999966
12/31/2009,0.18577295999999954
12/31/2010,-0.9131721199999987
12/31/2011,0.5820661200000004
12/31/2012,-0.18403545000000143
12/31/2013,0.2689499899999994
12/31/2014,-0.11347072999999774
12/31/2015,-0.2199010500000007
12/31/2016,0.14974843999999976
12/31/2017,0.039412249999999815
12/31/2018,-0.04022800000000082
12/31/2019,-0.0054151799999981876
12/31/2020,0.5856989099999979
8/31/2021,-0.7634411699999966
