Date,Log Total Assets
12/31/2002,13.49503046
12/31/2003,13.51243638
12/31/2004,13.55978143
12/31/2005,13.60969909
12/31/2006,13.64723796
12/31/2007,13.67941281
12/31/2008,13.91745129
12/31/2009,14.54712636
12/31/2010,14.6552659
12/31/2011,14.82393603
12/31/2012,14.8691013
12/31/2013,15.0597117
12/31/2014,15.2822965
12/31/2015,15.31695465
12/31/2016,15.31343459
12/31/2017,15.31114857
12/31/2018,15.26986859
12/31/2019,15.18417947
12/31/2020,15.63978012
8/31/2021,15.87322937
