Date,Log Currency in Circulation ($ Bil)
12/31/2004,0.025588328000000438
12/31/2005,-0.006642953000000951
12/31/2006,-0.0023050429999988964
12/31/2007,-0.019321969000000827
12/31/2008,0.0027599760000001083
12/31/2009,0.06170112499999991
12/31/2010,-0.04534324599999984
12/31/2011,0.037727064000000254
12/31/2012,0.004840800999999395
12/31/2013,-0.013903582999999387
12/31/2014,-0.0003659159999997996
12/31/2015,0.0003212919999988628
12/31/2016,-0.008988251999999086
12/31/2017,0.00413552299999953
12/31/2018,0.0010110110000010053
12/31/2019,-0.016807701000001174
12/31/2020,0.05942738900000055
8/31/2021,-0.009455298999999862
