Date,Effective Federal Funds Rate (%)
12/31/2004,0.3322445139999999
12/31/2005,1.64252371
12/31/2006,-0.11402942400000016
12/31/2007,-1.693733231
12/31/2008,-3.148452258
12/31/2009,1.324795132
12/31/2010,1.784424215
12/31/2011,-0.091108743
12/31/2012,0.11286601499999999
12/31/2013,-0.07159627699999997
12/31/2014,0.013691410999999987
12/31/2015,0.06434472699999999
12/31/2016,0.21444357900000005
12/31/2017,0.34820827099999985
12/31/2018,0.22387042300000026
12/31/2019,-0.5054820150000003
12/31/2020,-2.1091916479999995
8/31/2021,1.4857136219999998
