Date,Loss Function
12/31/2003,-0.10081901899999934
12/31/2004,1.7563802839999996
12/31/2005,1.2423029140000001
12/31/2006,0.958164381
12/31/2007,-0.118014501
12/31/2008,-3.5658778140000003
12/31/2009,-25.70092814
12/31/2010,-2.2777698499999985
12/31/2011,7.238167169999997
12/31/2012,7.93321366
12/31/2013,5.074912270000002
12/31/2014,6.677503849999999
12/31/2015,2.701018024
12/31/2016,1.2510884100000002
12/31/2017,0.724003099
12/31/2018,0.277877523
12/31/2019,0.002413399
12/31/2020,-29.084541254999998
8/31/2021,26.762585164999997
